,char_index,characters,operation
0,32, ,STOP
1,33,!,ADD
2,35,#,MUL
3,36,$,SUB
4,37,%,DIV
5,38,&,SDIV
6,39,',MOD
7,40,(,SMOD
8,41,),ADDMOD
9,42,*,MULMOD
10,43,+,EXP
11,44,",",SIGNEXTEND
12,45,-,invalid
13,46,.,LT
14,47,/,GT
15,48,0,SLT
16,49,1,SGT
17,50,2,EQ
18,51,3,ISZERO
19,52,4,AND
20,53,5,OR
21,54,6,XOR
22,55,7,NOT
23,56,8,BYTE
24,57,9,SHL
25,58,:,SHR
26,59,;,SAR
27,60,<,invalid
28,61,=,SHA3
29,62,>,invalid
30,63,?,ADDRESS
31,64,@,BALANCE
32,65,A,ORIGIN
33,66,B,CALLER
34,67,C,CALLVALUE
35,68,D,CALLDATALOAD
36,69,E,CALLDATASIZE
37,70,F,CALLDATACOPY
38,71,G,CODESIZE
39,72,H,CODECOPY
40,73,I,GASPRICE
41,74,J,EXTCODESIZE
42,75,K,EXTCODECOPY
43,76,L,RETURNDATASIZE
44,77,M,RETURNDATACOPY
45,78,N,EXTCODEHASH
46,79,O,BLOCKHASH
47,80,P,COINBASE
48,81,Q,TIMESTAMP
49,82,R,NUMBER
50,83,S,DIFFICULTY
51,84,T,GASLIMIT
52,85,U,CHAINID
53,86,V,SELFBALANCE
54,87,W,BASEFEE
55,88,X,invalid
56,89,Y,POP
57,90,Z,MLOAD
58,91,[,MSTORE
59,92,\,MSTORE8
60,93,],SLOAD
61,94,^,SSTORE
62,95,_,JUMP
63,96,`,JUMPI
64,97,a,PC
65,98,b,MSIZE
66,99,c,GAS
67,100,d,JUMPDEST
68,101,e,invalid
69,102,f,PUSH1
70,103,g,PUSH2
71,104,h,PUSH3
72,105,i,PUSH4
73,106,j,PUSH5
74,107,k,PUSH6
75,108,l,PUSH7
76,109,m,PUSH8
77,110,n,PUSH9
78,111,o,PUSH10
79,112,p,PUSH11
80,113,q,PUSH12
81,114,r,PUSH13
82,115,s,PUSH14
83,116,t,PUSH15
84,117,u,PUSH16
85,118,v,PUSH17
86,119,w,PUSH18
87,120,x,PUSH19
88,121,y,PUSH20
89,122,z,PUSH21
90,123,{,PUSH22
91,124,|,PUSH23
92,125,},PUSH24
93,126,~,PUSH25
94,161,¡,PUSH26
95,162,¢,PUSH27
96,163,£,PUSH28
97,164,¤,PUSH29
98,165,¥,PUSH30
99,166,¦,PUSH31
100,167,§,PUSH32
101,168,¨,DUP1
102,169,©,DUP2
103,170,ª,DUP3
104,171,«,DUP4
105,172,¬,DUP5
106,174,®,DUP6
107,175,¯,DUP7
108,176,°,DUP8
109,177,±,DUP9
110,178,²,DUP10
111,179,³,DUP11
112,180,´,DUP12
113,181,µ,DUP13
114,182,¶,DUP14
115,183,·,DUP15
116,184,¸,DUP16
117,185,¹,SWAP1
118,186,º,SWAP2
119,187,»,SWAP3
120,188,¼,SWAP4
121,189,½,SWAP5
122,190,¾,SWAP6
123,191,¿,SWAP7
124,192,À,SWAP8
125,193,Á,SWAP9
126,194,Â,SWAP10
127,195,Ã,SWAP11
128,196,Ä,SWAP12
129,197,Å,SWAP13
130,198,Æ,SWAP14
131,199,Ç,SWAP15
132,200,È,SWAP16
133,201,É,LOG0
134,202,Ê,LOG1
135,203,Ë,LOG2
136,204,Ì,LOG3
137,205,Í,LOG4
138,206,Î,invalid
139,207,Ï,CREATE
140,208,Ð,CALL
141,209,Ñ,CALLCODE
142,210,Ò,RETURN
143,211,Ó,DELEGATECALL
144,212,Ô,err
145,213,Õ,CREATE2
146,214,Ö,invalid
147,215,×,STATICCALL
148,216,Ø,invalid
149,217,Ù,REVERT
150,218,Ú,INVALID
151,219,Û,SELFDESTRUCT
0,220,Ü,PUSH0
